COUNTYNAME,TOWNNAME,TOWNCODE,AREA,POPULARITY,人口密度
新竹縣,五峰鄉,10004130,227.73 ,4439.00 ,19.49 
苗栗縣,苗栗市,10005010,37.89 ,86025.00 ,2270.52 
苗栗縣,頭份市,10005020,53.32 ,107478.00 ,2015.70 
苗栗縣,苑裡鎮,10005030,68.25 ,43446.00 ,636.60 
苗栗縣,通霄鎮,10005040,107.85 ,30893.00 ,286.45 
苗栗縣,竹南鎮,10005050,37.56 ,90668.00 ,2414.00 
苗栗縣,後龍鎮,10005060,75.81 ,33701.00 ,444.56 
苗栗縣,卓蘭鎮,10005070,76.32 ,14890.00 ,195.11 
苗栗縣,大湖鄉,10005080,90.84 ,12641.00 ,139.16 
苗栗縣,公館鄉,10005090,71.45 ,30871.00 ,432.05 
苗栗縣,銅鑼鄉,10005100,78.38 ,16265.00 ,207.51 
苗栗縣,南庄鄉,10005110,165.49 ,8686.00 ,52.49 
苗栗縣,頭屋鄉,10005120,52.50 ,9627.00 ,183.36 
苗栗縣,三義鄉,10005130,69.34 ,14713.00 ,212.18 
苗栗縣,西湖鄉,10005140,41.08 ,6035.00 ,146.92 
苗栗縣,造橋鄉,10005150,48.00 ,11582.00 ,241.30 
苗栗縣,三灣鄉,10005160,52.30 ,5814.00 ,111.17 
苗栗縣,獅潭鄉,10005170,79.43 ,4008.00 ,50.46 
苗栗縣,泰安鄉,10005180,614.51 ,5511.00 ,8.97 
彰化縣,彰化市,10007010,65.69 ,223689.00 ,3404.98 
彰化縣,員林市,10007020,40.04 ,122742.00 ,3065.64 
彰化縣,鹿港鎮,10007030,39.46 ,83588.00 ,2118.16 
彰化縣,和美鎮,10007040,39.93 ,87370.00 ,2187.83 
彰化縣,北斗鎮,10007050,19.25 ,33238.00 ,1726.23 
彰化縣,溪湖鎮,10007060,32.06 ,53385.00 ,1665.20 
彰化縣,田中鎮,10007070,34.61 ,38819.00 ,1121.75 
彰化縣,二林鎮,10007080,92.85 ,47119.00 ,507.49 
彰化縣,線西鄉,10007090,18.09 ,16182.00 ,894.74 
彰化縣,伸港鄉,10007100,22.33 ,38422.00 ,1720.89 
彰化縣,福興鄉,10007110,49.89 ,44773.00 ,897.37 
彰化縣,秀水鄉,10007120,29.34 ,37773.00 ,1287.22 
彰化縣,花壇鄉,10007130,36.35 ,43338.00 ,1192.34 
彰化縣,芬園鄉,10007140,38.02 ,21772.00 ,572.64 
彰化縣,大村鄉,10007150,30.78 ,39474.00 ,1282.30 
彰化縣,埔鹽鄉,10007160,38.61 ,30546.00 ,791.18 
彰化縣,埔心鄉,10007170,20.95 ,33366.00 ,1592.45 
彰化縣,永靖鄉,10007180,20.64 ,34664.00 ,1679.60 
彰化縣,社頭鄉,10007190,36.14 ,40842.00 ,1129.95 
彰化縣,二水鄉,10007200,29.44 ,13547.00 ,460.08 
彰化縣,田尾鄉,10007210,24.04 ,25525.00 ,1061.88 
彰化縣,埤頭鄉,10007220,42.75 ,28484.00 ,666.28 
彰化縣,芳苑鄉,10007230,91.38 ,30614.00 ,335.01 
彰化縣,大城鄉,10007240,63.74 ,14548.00 ,228.24 
彰化縣,竹塘鄉,10007250,42.17 ,14160.00 ,335.81 
彰化縣,溪州鄉,10007260,75.83 ,27695.00 ,365.22 
南投縣,南投市,10008010,71.60 ,97042.00 ,1355.30 
南投縣,埔里鎮,10008020,162.22 ,76303.00 ,470.36 
南投縣,草屯鎮,10008030,104.03 ,97147.00 ,933.81 
南投縣,竹山鎮,10008040,247.33 ,50625.00 ,204.68 
南投縣,集集鎮,10008050,49.73 ,9776.00 ,196.59 
南投縣,名間鄉,10008060,83.10 ,35133.00 ,422.80 
南投縣,鹿谷鄉,10008070,141.90 ,15832.00 ,111.57 
南投縣,中寮鄉,10008080,146.65 ,13194.00 ,89.97 
南投縣,魚池鄉,10008090,121.37 ,14414.00 ,118.76 
南投縣,國姓鄉,10008100,175.70 ,16454.00 ,93.65 
南投縣,水里鄉,10008110,106.84 ,15800.00 ,147.88 
南投縣,信義鄉,10008120,1422.42 ,15169.00 ,10.66 
